# step, temp, etotal, ke, tpot, evdw, ebond
1960 23518654130.763447 35277981196.14517 35277981196.14517 -5.445041720610937e-42 0.0 -5.445041720610937e-42
1970 23518654130.763447 35277981196.14517 35277981196.14517 -5.2812111397437176e-42 0.0 -5.2812111397437176e-42
1980 23518654130.763447 35277981196.14517 35277981196.14517 -5.123102700650568e-42 0.0 -5.123102700650568e-42
1990 23518654130.763447 35277981196.14517 35277981196.14517 -4.970489130157429e-42 0.0 -4.970489130157429e-42
2000 23518654130.763447 35277981196.14517 35277981196.14517 -4.823153260059799e-42 0.0 -4.823153260059799e-42
2010 23518654130.763447 35277981196.14517 35277981196.14517 -4.6808875303762574e-42 0.0 -4.6808875303762574e-42
2020 23518654130.763447 35277981196.14517 35277981196.14517 -4.543493519331749e-42 0.0 -4.543493519331749e-42
2030 23518654130.763447 35277981196.14517 35277981196.14517 -4.4107814985090063e-42 0.0 -4.4107814985090063e-42
2040 23518654130.763447 35277981196.14517 35277981196.14517 -4.282570011705202e-42 0.0 -4.282570011705202e-42
2050 23518654130.763447 35277981196.14517 35277981196.14517 -4.158685476122298e-42 0.0 -4.158685476122298e-42
2060 23518654130.763447 35277981196.14517 35277981196.14517 -4.0389618046053847e-42 0.0 -4.0389618046053847e-42
2070 23518654130.763447 35277981196.14517 35277981196.14517 -3.9232400477228535e-42 0.0 -3.9232400477228535e-42
2080 23518654130.763447 35277981196.14517 35277981196.14517 -3.811368054557003e-42 0.0 -3.811368054557003e-42
2090 23518654130.763447 35277981196.14517 35277981196.14517 -3.7032001511429835e-42 0.0 -3.7032001511429835e-42
2100 23518654130.763447 35277981196.14517 35277981196.14517 -3.5985968355592643e-42 0.0 -3.5985968355592643e-42
2110 23518654130.763447 35277981196.14517 35277981196.14517 -3.4974244887332694e-42 0.0 -3.4974244887332694e-42
2120 23518654130.763447 35277981196.14517 35277981196.14517 -3.399555100082771e-42 0.0 -3.399555100082771e-42
2130 23518654130.763447 35277981196.14517 35277981196.14517 -3.3048660071666574e-42 0.0 -3.3048660071666574e-42
2140 23518654130.763447 35277981196.14517 35277981196.14517 -3.213239648568176e-42 0.0 -3.213239648568176e-42
2150 23518654130.763447 35277981196.14517 35277981196.14517 -3.124563329280528e-42 0.0 -3.124563329280528e-42
2160 23518654130.763447 35277981196.14517 35277981196.14517 -3.038728997907793e-42 0.0 -3.038728997907793e-42
2170 23518654130.763447 35277981196.14517 35277981196.14517 -2.955633035035095e-42 0.0 -2.955633035035095e-42
2180 23518654130.763447 35277981196.14517 35277981196.14517 -2.87517605215995e-42 0.0 -2.87517605215995e-42
2190 23518654130.763447 35277981196.14517 35277981196.14517 -2.797262700612412e-42 0.0 -2.797262700612412e-42
